Original_Image,Technique,Filename,Mean,Std,Variance,Skewness,Kurtosis,Entropy,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,HuMoment_1,HuMoment_2,HuMoment_3,HuMoment_4,HuMoment_5,HuMoment_6,HuMoment_7
Atelectasis,original,original.png,139.85281372070312,55.72171551644539,3104.909580095671,-0.4572824953260082,-0.4179920879222654,7.488224025967232,89.29309129901962,4.7882506127451,0.29510212226789523,0.03520300413511135,0.9854536804472313,0.04840087890617614,0.06628417968739886,0.045822143554617584,0.09963989257797295,0.18765258789033867,0.16117858886694156,0.07737731933581943,0.07244873046863945,0.24119567871056946,0.0011767098739395624,9.380200531203458e-10,1.8282284743824834e-11,1.1298721678022374e-11,-1.441616026200438e-22,5.082372175099443e-17,-7.475248864921053e-23
Atelectasis,lowpass,lpf.png,139.9307403564453,53.445854757163765,2856.459390723845,-0.3704513167089283,-0.5491933623672249,7.527086052556201,21.193658088235292,2.7740502450980387,0.3888927895015316,0.031942530374878694,0.9962646520753592,0.0010986328124983236,0.011322021484357724,0.006500244140615082,0.08711242675767958,0.399108886718141,0.3199005126948244,0.04499816894524384,0.03710937499994338,0.09284973144517082,0.0011769726780045317,9.502768797220401e-10,1.8319254402590785e-11,1.1259512961873795e-11,-1.4384290066565103e-22,4.3391881100568336e-17,-7.388446266696715e-23
Atelectasis,highpass,hpf.png,140.435791015625,66.44786928876556,4415.319333016872,-0.4212916530338809,-0.6619110009059339,7.662507070181881,2218.4639399509806,30.345159313725496,0.08972975506392551,0.03602531321257387,0.7467608204459861,0.13018798828105135,0.11364746093732658,0.040176391601501195,0.04228210449212298,0.04948425292961199,0.046417236328054175,0.04457092285149449,0.10920715332014586,0.42402648925716546,0.0011754364533818982,9.78775673731644e-10,1.7898618465656387e-11,1.1039696051076738e-11,-1.3937875074015105e-22,-9.747595066228903e-18,-6.823100470059523e-23
Atelectasis,gaussian_smooth,smoothing.png,139.91464233398438,53.59867223393437,2872.8176652407274,-0.3782001973253711,-0.5553026808189148,7.5531132799337115,23.048651960784312,2.8081188725490196,0.3909529111753067,0.030213285069985024,0.9959563052481857,0.0007934570312487893,0.008987426757798787,0.005859374999991059,0.08471679687487073,0.40229797363219866,0.3370666503901107,0.04165649414056144,0.035217285156196265,0.08340454101549774,0.001176952203341348,9.468882735680043e-10,1.8307360984788114e-11,1.126263380551753e-11,-1.438135156401265e-22,4.5069222469069444e-17,-7.397381553873291e-23
Atelectasis,hist_eq,HE.png,124.0706787109375,75.96333117197058,5770.4276827424765,0.005651612808165213,-1.2133290864228388,7.406009455910944,146.16870404411767,6.819776348039217,0.25382901734987917,0.03704480748817428,0.9872876162621058,0.04780578613273955,0.06781005859364653,0.044158935546807616,0.10081481933578366,0.1796264648434759,0.1648864746091234,0.07629394531238358,0.07135009765614113,0.24725341796837272,0.0013362911942310356,2.93508671245487e-09,6.824345939699833e-11,5.178068902951144e-11,-2.7560215751510654e-21,9.640756744940363e-16,-1.3707750261658546e-21
Atelectasis,clahe,CLAHE.png,143.19735717773438,62.930874807218586,3960.2950040018186,-0.46959442411957536,-0.8163960013438163,7.6708244652658655,191.08079044117648,8.51155024509804,0.18748323375692405,0.025919545424348513,0.9756421056257139,0.062133789062405194,0.07394409179676217,0.05270385742179458,0.10272216796859325,0.1765441894528556,0.1483764648435236,0.07272338867176403,0.07212829589832744,0.23872375488244824,0.0011445267756415283,6.789851466665626e-10,1.3499411155186288e-11,6.205911835480956e-12,-5.545206400485849e-23,6.327360263502408e-17,-1.2311307808759802e-23
Atelectasis,sobel,Sobel.png,106.14056396484375,39.042063232987374,1524.2827014885843,-0.353816097582056,0.4599877573624589,6.9392007769859365,112.87513786764703,4.980805759803921,0.31018307695610325,0.03511689681440143,0.9624453302420078,0.05014038085929849,0.07836914062488042,0.04054260253900064,0.08882141113267697,0.1724853515622368,0.13592529296854258,0.06558227539052493,0.08261108398424895,0.28552246093706435,0.0015620175541591283,1.792704881800268e-09,3.3031327877740417e-11,2.078870946446831e-11,-4.87933503066486e-22,1.2896853711653626e-16,-2.422459989835216e-22
Atelectasis,prewitt,Prewitt.png,106.06117248535156,39.04258706500882,1524.3236047287937,-0.3516207892373328,0.4560892438749713,6.938060247201795,110.9647058823529,4.897794117647058,0.31253361008123925,0.03525235067109071,0.9630829284618013,0.050338745117110686,0.07638549804675844,0.040634155273375494,0.09086608886704885,0.17205810546848746,0.1378173828122897,0.06793212890614635,0.08256530761706152,0.2814025878901956,0.0015635370019769492,1.7902067662494955e-09,3.3128238943122994e-11,2.0930645223313627e-11,-4.940452378816833e-22,1.28136631439399e-16,-2.4431583006342053e-22
Atelectasis,freq_sharpen,FD-sharp.png,94.10527038574219,34.217913610731316,1170.8656118714716,0.12241650122856336,0.6796914896078041,6.969769318639639,73.93783700980393,4.679687500000001,0.2991415109371105,0.02678394220624722,0.9682757053823324,0.0535430908202308,0.07638549804675844,0.04380798339837065,0.0975189208982887,0.17848205566379016,0.16361999511693784,0.07348632812488787,0.08525085449205741,0.22790527343715225,0.0017959824135719681,2.5075588275792687e-09,6.518137441767374e-11,3.46158722167593e-11,-1.4888704179768547e-21,7.5555866785832975e-16,-6.977878720409966e-22
Atelectasis,laplacian,Spatial-filtered.png,140.75790405273438,56.95335928151036,3243.685133448802,-0.4053335478158242,-0.5527474475295753,7.599973986048428,450.26321997549024,13.495787377450982,0.1323083418436885,0.02416002765047597,0.9298044527243938,0.13816833496072667,0.10005187988265983,0.03872680664056591,0.046859741210865995,0.06193542480459299,0.05273437499991954,0.04598999023430483,0.10144042968734521,0.4140930175774931,0.0011750236885016653,9.500160458336236e-10,1.8613692868386627e-11,1.1239253674077753e-11,-1.4518351139840204e-22,3.314233336450638e-17,-7.313392865376917e-23
